date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2019-09-06,2019,9,6,3,0,0,-19.048,1.845,1.02,0.275,0.823,0.985,-1.014,0.029,-0.632,1.124,-0.79,-0.334,1.124,1.143,-0.432,-0.712,-0.808,0.218,0.873,-1.091,-1.839
2019-09-09,2019,9,9,3,0,0,8.75,1.895,1.026,0.1,0.956,0.127,0.931,-1.057,-0.019,-0.654,1.151,-0.497,-0.105,-0.75,1.135,-0.385,-0.656,-0.898,-0.18,1.078,-2.694
2019-09-10,2019,9,10,3,0,0,9.091,2.525,0.439,-0.025,1.067,0.398,-1.138,0.74,-3.903,-0.68,-0.469,1.148,-0.328,-0.447,-0.698,1.146,-0.341,1.146,-0.696,-0.45,-0.02
2019-09-11,2019,9,11,3,0,0,-10.811,1.775,1.072,-0.225,0.723,-1.096,0.863,0.233,1.003,1.141,-0.726,-0.415,1.97,1.086,-0.203,-0.883,4.118,-0.726,1.141,-0.415,-0.207
2019-09-12,2019,9,12,3,0,0,8.451,1.28,1.23,-0.23,0.726,-0.602,-0.553,1.154,0.606,-0.427,1.143,-0.716,-0.406,-0.902,1.076,-0.174,-0.833,-0.246,-0.854,1.1,-0.528
2019-09-13,2019,9,13,3,0,0,-12.308,0.65,0.142,0.26,0.695,1.129,-0.776,-0.353,14.46,0.661,-1.15,0.489,-1.452,-0.345,-0.782,1.127,-0.079,-0.188,1.081,-0.893,5.45
2019-09-16,2019,9,16,3,0,0,1.778,0.49,0.348,0.02,0.642,-1.064,0.92,0.144,0.316,-0.218,1.091,-0.873,0.904,0.141,0.922,-1.063,7.6,0.927,-1.06,0.132,-1.722
2019-09-17,2019,9,17,3,0,0,-4.167,0.4,0.363,0.29,0.42,-0.358,-0.772,1.13,0.386,-0.048,-0.975,1.023,-1.975,-1.053,0.117,0.936,-1.145,0.26,0.844,-1.104,0.065
2019-09-18,2019,9,18,3,0,0,-12.821,0.39,0.346,0.3,0.436,1.127,-0.347,-0.78,1.214,1.033,-0.069,-0.964,0.964,0.354,-1.129,0.775,2.108,-1.104,0.26,0.844,-1.104
2019-09-19,2019,9,19,3,0,0,-11.25,0.6,0.286,0.565,0.258,0.524,0.629,-1.153,-1.677,0.426,0.716,-1.142,-2.653,0.542,0.612,-1.154,1.114,-0.334,-0.79,1.124,1.945
2019-09-20,2019,9,20,3,0,0,9.82,0.755,0.023,0.23,0.837,-0.873,-0.218,1.091,-21.167,-1.154,0.532,0.622,0.048,-1.154,0.534,0.62,-1.552,1.151,-0.492,-0.658,0.039
2019-09-23,2019,9,23,3,0,0,-21.707,0.94,0.342,0.425,1.057,1.154,-0.599,-0.555,-0.468,0.861,-1.097,0.236,0.307,-0.577,-0.577,1.155,1.243,-0.483,1.15,-0.667,-0.85
2019-09-24,2019,9,24,3,0,0,0.0,0.69,0.669,0.2,1.049,-1.032,0.965,0.067,0.09,-0.191,1.082,-0.891,0.453,-1.155,0.577,0.577,4.069,-0.577,-0.577,1.155,-0.772
2019-09-25,2019,9,25,3,0,0,-0.917,0.515,0.718,0.465,0.754,-0.425,-0.717,1.142,0.306,-0.537,-0.617,1.154,-1.591,1.149,-0.676,-0.473,-0.473,1.155,-0.577,-0.577,5.352
2019-09-26,2019,9,26,3,0,0,8.918,0.77,1.157,-0.215,0.425,1.15,-0.484,-0.666,0.489,-1.152,0.646,0.505,3.644,0.764,0.367,-1.132,-0.965,1.129,-0.353,-0.776,-0.776
2019-09-27,2019,9,27,3,0,0,0.0,1.015,0.976,-0.215,0.425,-0.287,1.112,-0.825,-1.04,0.505,-1.152,0.646,0.505,-1.126,0.785,0.341,-1.333,0.751,0.384,-1.135,-1.569
2019-09-30,2019,9,30,3,0,1,14.062,2.145,1.433,-0.685,0.675,1.015,-0.984,-0.031,-1.35,-0.985,1.014,-0.03,1.103,1.112,-0.826,-0.286,-0.411,1.135,-0.384,-0.751,-2.27
2019-10-01,2019,10,1,4,1,0,6.061,2.88,1.891,-0.65,0.676,0.754,0.381,-1.134,-0.413,0.074,-1.035,0.961,-0.081,0.59,0.565,-1.155,-0.675,0.738,0.4,-1.138,-1.51
2019-10-02,2019,10,2,4,0,0,4.627,3.185,1.375,-0.805,0.477,-1.116,0.814,0.302,-1.781,0.713,0.43,-1.143,1.688,-1.154,0.604,0.55,-3.216,0.873,0.218,-1.091,-7.048
2019-10-03,2019,10,3,4,0,0,4.762,2.735,1.392,-0.505,0.083,-0.348,-0.779,1.128,0.621,0.666,0.484,-1.15,-10.228,-0.679,-0.47,1.148,1.099,-1.121,0.801,0.32,-0.641
2019-10-04,2019,10,4,4,0,0,7.143,1.8,0.397,-0.555,0.169,-0.756,1.134,-0.378,6.312,-1.154,0.621,0.532,-0.266,1.098,-0.858,-0.24,4.543,0.949,-1.044,0.095,-0.19
2019-10-07,2019,10,7,4,0,0,2.344,2.0,0.433,-0.49,0.242,0.577,-1.155,0.577,-0.808,0.907,-1.072,0.165,0.103,1.019,-0.038,-0.98,-0.683,0.995,0.01,-1.005,-0.425
2019-10-08,2019,10,8,4,0,0,17.347,2.7,1.477,-1.19,1.202,1.117,-0.305,-0.812,-0.305,-1.131,0.765,0.366,0.616,0.864,0.232,-1.096,-2.279,1.123,-0.329,-0.794,-1.274
2019-10-09,2019,10,9,4,0,0,-37.606,3.65,1.212,0.395,3.328,0.577,0.577,-1.155,-1.773,1.085,-0.885,-0.2,-0.344,1.03,-0.064,-0.967,-2.864,-0.769,1.13,-0.361,-0.84
2019-10-10,2019,10,10,4,0,0,5.333,3.65,1.212,0.285,3.366,-1.155,0.577,0.577,-1.155,-0.263,1.105,-0.842,-0.165,0.71,0.434,-1.144,-2.446,-0.435,-0.709,1.144,-0.311
2019-10-11,2019,10,11,4,0,0,6.375,3.1,1.106,0.88,2.708,-0.362,-0.769,1.131,1.131,-0.608,-0.547,1.154,-1.267,1.153,-0.522,-0.631,-1.251,1.035,-0.074,-0.961,5.027
2019-10-14,2019,10,14,4,0,0,2.985,2.125,0.647,-0.555,0.236,-1.083,0.889,0.193,3.441,1.082,-0.891,-0.191,19.343,-1.124,0.791,0.333,0.303,-1.067,0.915,0.152,-0.457
2019-10-15,2019,10,15,4,0,0,-6.154,1.725,0.865,-0.155,0.694,-0.78,-0.347,1.127,0.607,1.088,-0.209,-0.879,-0.641,-0.487,-0.663,1.15,0.716,-0.696,-0.45,1.146,0.532
2019-10-16,2019,10,16,4,0,0,-1.616,1.395,0.331,0.15,0.45,0.952,-1.042,0.091,3.942,0.0,1.0,-1.0,-2.033,1.128,-0.349,-0.779,3.651,-1.064,0.143,0.921,5.98
2019-10-17,2019,10,17,4,0,0,15.323,1.42,0.337,-0.225,1.063,0.237,0.86,-1.097,0.015,-1.129,0.353,0.776,-0.071,-0.431,1.143,-0.712,-1.252,-0.549,-0.606,1.154,2.29
2019-10-18,2019,10,18,4,0,0,-64.0,2.69,1.882,1.175,3.237,1.153,-0.632,-0.521,-0.871,1.12,-0.803,-0.317,-0.178,-0.478,-0.671,1.149,-0.996,-1.155,0.585,0.57,1.019
2019-10-21,2019,10,21,4,0,0,-0.638,2.77,1.824,1.14,3.254,-0.45,1.146,-0.696,-0.581,-0.337,1.125,-0.788,-0.304,1.138,-0.4,-0.738,2.454,-0.756,-0.378,1.134,1.121
2019-10-22,2019,10,22,4,0,0,-0.926,2.92,1.68,1.64,2.737,-0.577,-0.577,1.155,-0.845,-0.572,-0.583,1.155,-1.12,0.729,0.411,-1.14,-1.482,1.044,-0.949,-0.095,3.322
